feature_name,feature_group
lactate__mean__missing_rate,structured
lactate__min__missing_rate,structured
platelet__last__missing_rate,structured
platelet__max__missing_rate,structured
platelet__mean__missing_rate,structured
platelet__min__missing_rate,structured
potassium__last__missing_rate,structured
potassium__max__missing_rate,structured
potassium__mean__missing_rate,structured
potassium__min__missing_rate,structured
sodium__last__missing_rate,structured
sodium__max__missing_rate,structured
sodium__mean__missing_rate,structured
sodium__min__missing_rate,structured
wbc__last__missing_rate,structured
wbc__max__missing_rate,structured
wbc__mean__missing_rate,structured
wbc__min__missing_rate,structured
age_at_icu_intime__missing_rate,structured
hours_since_icu_admit__missing_rate,structured
hours_to_prediction__missing_rate,structured
static_GENDER_F,structured
static_GENDER_M,structured
static_ETHNICITY_AMERICAN INDIAN/ALASKA NATIVE,structured
static_ETHNICITY_AMERICAN INDIAN/ALASKA NATIVE FEDERALLY RECOGNIZED TRIBE,structured
static_ETHNICITY_ASIAN,structured
static_ETHNICITY_ASIAN - ASIAN INDIAN,structured
static_ETHNICITY_ASIAN - CAMBODIAN,structured
static_ETHNICITY_ASIAN - CHINESE,structured
static_ETHNICITY_ASIAN - FILIPINO,structured
static_ETHNICITY_ASIAN - JAPANESE,structured
static_ETHNICITY_ASIAN - KOREAN,structured
static_ETHNICITY_ASIAN - OTHER,structured
static_ETHNICITY_ASIAN - THAI,structured
static_ETHNICITY_ASIAN - VIETNAMESE,structured
static_ETHNICITY_BLACK/AFRICAN,structured
static_ETHNICITY_BLACK/AFRICAN AMERICAN,structured
static_ETHNICITY_BLACK/CAPE VERDEAN,structured
static_ETHNICITY_BLACK/HAITIAN,structured
static_ETHNICITY_CARIBBEAN ISLAND,structured
static_ETHNICITY_HISPANIC OR LATINO,structured
static_ETHNICITY_HISPANIC/LATINO - CENTRAL AMERICAN (OTHER),structured
static_ETHNICITY_HISPANIC/LATINO - COLOMBIAN,structured
static_ETHNICITY_HISPANIC/LATINO - CUBAN,structured
static_ETHNICITY_HISPANIC/LATINO - DOMINICAN,structured
static_ETHNICITY_HISPANIC/LATINO - GUATEMALAN,structured
static_ETHNICITY_HISPANIC/LATINO - HONDURAN,structured
static_ETHNICITY_HISPANIC/LATINO - MEXICAN,structured
static_ETHNICITY_HISPANIC/LATINO - PUERTO RICAN,structured
static_ETHNICITY_HISPANIC/LATINO - SALVADORAN,structured
static_ETHNICITY_MIDDLE EASTERN,structured
static_ETHNICITY_MULTI RACE ETHNICITY,structured
static_ETHNICITY_NATIVE HAWAIIAN OR OTHER PACIFIC ISLANDER,structured
static_ETHNICITY_OTHER,structured
static_ETHNICITY_PATIENT DECLINED TO ANSWER,structured
static_ETHNICITY_PORTUGUESE,structured
static_ETHNICITY_SOUTH AMERICAN,structured
static_ETHNICITY_UNABLE TO OBTAIN,structured
static_ETHNICITY_UNKNOWN/NOT SPECIFIED,structured
static_ETHNICITY_WHITE,structured
static_ETHNICITY_WHITE - BRAZILIAN,structured
static_ETHNICITY_WHITE - EASTERN EUROPEAN,structured
static_ETHNICITY_WHITE - OTHER EUROPEAN,structured
static_ETHNICITY_WHITE - RUSSIAN,structured
static_FIRST_CAREUNIT_CCU,structured
static_FIRST_CAREUNIT_CSRU,structured
static_FIRST_CAREUNIT_MICU,structured
static_FIRST_CAREUNIT_SICU,structured
static_FIRST_CAREUNIT_TSICU,structured
static_LAST_CAREUNIT_CCU,structured
static_LAST_CAREUNIT_CSRU,structured
static_LAST_CAREUNIT_MICU,structured
static_LAST_CAREUNIT_SICU,structured
static_LAST_CAREUNIT_TSICU,structured
text_mean_embedding_0,text_embedding
text_mean_embedding_1,text_embedding
text_mean_embedding_2,text_embedding
text_mean_embedding_3,text_embedding
text_mean_embedding_4,text_embedding
text_mean_embedding_5,text_embedding
text_mean_embedding_6,text_embedding
text_mean_embedding_7,text_embedding
text_mean_embedding_8,text_embedding
text_mean_embedding_9,text_embedding
text_mean_embedding_10,text_embedding
text_mean_embedding_11,text_embedding
text_mean_embedding_12,text_embedding
text_mean_embedding_13,text_embedding
text_mean_embedding_14,text_embedding
text_mean_embedding_15,text_embedding
text_mean_embedding_16,text_embedding
text_mean_embedding_17,text_embedding
text_mean_embedding_18,text_embedding
text_mean_embedding_19,text_embedding
text_mean_embedding_20,text_embedding
text_mean_embedding_21,text_embedding
text_mean_embedding_22,text_embedding
text_mean_embedding_23,text_embedding
text_mean_embedding_24,text_embedding
text_mean_embedding_25,text_embedding
text_mean_embedding_26,text_embedding
text_mean_embedding_27,text_embedding
text_mean_embedding_28,text_embedding
text_mean_embedding_29,text_embedding
text_mean_embedding_30,text_embedding
text_mean_embedding_31,text_embedding
text_mean_embedding_32,text_embedding
text_mean_embedding_33,text_embedding
text_mean_embedding_34,text_embedding
text_mean_embedding_35,text_embedding
text_mean_embedding_36,text_embedding
text_mean_embedding_37,text_embedding
text_mean_embedding_38,text_embedding
text_mean_embedding_39,text_embedding
text_mean_embedding_40,text_embedding
text_mean_embedding_41,text_embedding
text_mean_embedding_42,text_embedding
text_mean_embedding_43,text_embedding
text_mean_embedding_44,text_embedding
text_mean_embedding_45,text_embedding
text_mean_embedding_46,text_embedding
text_mean_embedding_47,text_embedding
text_mean_embedding_48,text_embedding
text_mean_embedding_49,text_embedding
text_mean_embedding_50,text_embedding
text_mean_embedding_51,text_embedding
text_mean_embedding_52,text_embedding
text_mean_embedding_53,text_embedding
text_mean_embedding_54,text_embedding
text_mean_embedding_55,text_embedding
text_mean_embedding_56,text_embedding
text_mean_embedding_57,text_embedding
text_mean_embedding_58,text_embedding
text_mean_embedding_59,text_embedding
text_mean_embedding_60,text_embedding
text_mean_embedding_61,text_embedding
text_mean_embedding_62,text_embedding
text_mean_embedding_63,text_embedding
text_mean_embedding_64,text_embedding
text_mean_embedding_65,text_embedding
text_mean_embedding_66,text_embedding
text_mean_embedding_67,text_embedding
text_mean_embedding_68,text_embedding
text_mean_embedding_69,text_embedding
text_mean_embedding_70,text_embedding
text_mean_embedding_71,text_embedding
text_mean_embedding_72,text_embedding
text_mean_embedding_73,text_embedding
text_mean_embedding_74,text_embedding
text_mean_embedding_75,text_embedding
text_mean_embedding_76,text_embedding
text_mean_embedding_77,text_embedding
text_mean_embedding_78,text_embedding
text_mean_embedding_79,text_embedding
text_mean_embedding_80,text_embedding
text_mean_embedding_81,text_embedding
text_mean_embedding_82,text_embedding
text_mean_embedding_83,text_embedding
text_mean_embedding_84,text_embedding
text_mean_embedding_85,text_embedding
text_mean_embedding_86,text_embedding
text_mean_embedding_87,text_embedding
text_mean_embedding_88,text_embedding
text_mean_embedding_89,text_embedding
text_mean_embedding_90,text_embedding
text_mean_embedding_91,text_embedding
text_mean_embedding_92,text_embedding
text_mean_embedding_93,text_embedding
text_mean_embedding_94,text_embedding
text_mean_embedding_95,text_embedding
text_mean_embedding_96,text_embedding
text_mean_embedding_97,text_embedding
text_mean_embedding_98,text_embedding
text_mean_embedding_99,text_embedding
text_mean_embedding_100,text_embedding
text_mean_embedding_101,text_embedding
text_mean_embedding_102,text_embedding
text_mean_embedding_103,text_embedding
text_mean_embedding_104,text_embedding
text_mean_embedding_105,text_embedding
text_mean_embedding_106,text_embedding
text_mean_embedding_107,text_embedding
text_mean_embedding_108,text_embedding
text_mean_embedding_109,text_embedding
text_mean_embedding_110,text_embedding
text_mean_embedding_111,text_embedding
text_mean_embedding_112,text_embedding
text_mean_embedding_113,text_embedding
text_mean_embedding_114,text_embedding
text_mean_embedding_115,text_embedding
text_mean_embedding_116,text_embedding
text_mean_embedding_117,text_embedding
text_mean_embedding_118,text_embedding
text_mean_embedding_119,text_embedding
text_mean_embedding_120,text_embedding
text_mean_embedding_121,text_embedding
text_mean_embedding_122,text_embedding
text_mean_embedding_123,text_embedding
text_mean_embedding_124,text_embedding
text_mean_embedding_125,text_embedding
text_mean_embedding_126,text_embedding
text_mean_embedding_127,text_embedding
text_mean_embedding_128,text_embedding
text_mean_embedding_129,text_embedding
text_mean_embedding_130,text_embedding
text_mean_embedding_131,text_embedding
text_mean_embedding_132,text_embedding
text_mean_embedding_133,text_embedding
text_mean_embedding_134,text_embedding
text_mean_embedding_135,text_embedding
text_mean_embedding_136,text_embedding
text_mean_embedding_137,text_embedding
text_mean_embedding_138,text_embedding
text_mean_embedding_139,text_embedding
text_mean_embedding_140,text_embedding
text_mean_embedding_141,text_embedding
text_mean_embedding_142,text_embedding
text_mean_embedding_143,text_embedding
text_mean_embedding_144,text_embedding
text_mean_embedding_145,text_embedding
text_mean_embedding_146,text_embedding
text_mean_embedding_147,text_embedding
text_mean_embedding_148,text_embedding
text_mean_embedding_149,text_embedding
text_mean_embedding_150,text_embedding
text_mean_embedding_151,text_embedding
text_mean_embedding_152,text_embedding
text_mean_embedding_153,text_embedding
text_mean_embedding_154,text_embedding
text_mean_embedding_155,text_embedding
text_mean_embedding_156,text_embedding
text_mean_embedding_157,text_embedding
text_mean_embedding_158,text_embedding
text_mean_embedding_159,text_embedding
text_mean_embedding_160,text_embedding
text_mean_embedding_161,text_embedding
text_mean_embedding_162,text_embedding
text_mean_embedding_163,text_embedding
text_mean_embedding_164,text_embedding
text_mean_embedding_165,text_embedding
text_mean_embedding_166,text_embedding
text_mean_embedding_167,text_embedding
text_mean_embedding_168,text_embedding
text_mean_embedding_169,text_embedding
text_mean_embedding_170,text_embedding
text_mean_embedding_171,text_embedding
text_mean_embedding_172,text_embedding
text_mean_embedding_173,text_embedding
text_mean_embedding_174,text_embedding
text_mean_embedding_175,text_embedding
text_mean_embedding_176,text_embedding
text_mean_embedding_177,text_embedding
text_mean_embedding_178,text_embedding
text_mean_embedding_179,text_embedding
text_mean_embedding_180,text_embedding
text_mean_embedding_181,text_embedding
text_mean_embedding_182,text_embedding
text_mean_embedding_183,text_embedding
text_mean_embedding_184,text_embedding
text_mean_embedding_185,text_embedding
text_mean_embedding_186,text_embedding
text_mean_embedding_187,text_embedding
text_mean_embedding_188,text_embedding
text_mean_embedding_189,text_embedding
text_mean_embedding_190,text_embedding
text_mean_embedding_191,text_embedding
text_mean_embedding_192,text_embedding
text_mean_embedding_193,text_embedding
text_mean_embedding_194,text_embedding
text_mean_embedding_195,text_embedding
text_mean_embedding_196,text_embedding
text_mean_embedding_197,text_embedding
text_mean_embedding_198,text_embedding
text_mean_embedding_199,text_embedding
text_mean_embedding_200,text_embedding
text_mean_embedding_201,text_embedding
text_mean_embedding_202,text_embedding
text_mean_embedding_203,text_embedding
text_mean_embedding_204,text_embedding
text_mean_embedding_205,text_embedding
text_mean_embedding_206,text_embedding
text_mean_embedding_207,text_embedding
text_mean_embedding_208,text_embedding
text_mean_embedding_209,text_embedding
text_mean_embedding_210,text_embedding
text_mean_embedding_211,text_embedding
text_mean_embedding_212,text_embedding
text_mean_embedding_213,text_embedding
text_mean_embedding_214,text_embedding
text_mean_embedding_215,text_embedding
text_mean_embedding_216,text_embedding
text_mean_embedding_217,text_embedding
text_mean_embedding_218,text_embedding
text_mean_embedding_219,text_embedding
text_mean_embedding_220,text_embedding
text_mean_embedding_221,text_embedding
text_mean_embedding_222,text_embedding
text_mean_embedding_223,text_embedding
text_mean_embedding_224,text_embedding
text_mean_embedding_225,text_embedding
text_mean_embedding_226,text_embedding
text_mean_embedding_227,text_embedding
text_mean_embedding_228,text_embedding
text_mean_embedding_229,text_embedding
text_mean_embedding_230,text_embedding
text_mean_embedding_231,text_embedding
text_mean_embedding_232,text_embedding
text_mean_embedding_233,text_embedding
text_mean_embedding_234,text_embedding
text_mean_embedding_235,text_embedding
text_mean_embedding_236,text_embedding
text_mean_embedding_237,text_embedding
text_mean_embedding_238,text_embedding
text_mean_embedding_239,text_embedding
text_mean_embedding_240,text_embedding
text_mean_embedding_241,text_embedding
text_mean_embedding_242,text_embedding
text_mean_embedding_243,text_embedding
text_mean_embedding_244,text_embedding
text_mean_embedding_245,text_embedding
text_mean_embedding_246,text_embedding
text_mean_embedding_247,text_embedding
text_mean_embedding_248,text_embedding
text_mean_embedding_249,text_embedding
text_mean_embedding_250,text_embedding
text_mean_embedding_251,text_embedding
text_mean_embedding_252,text_embedding
text_mean_embedding_253,text_embedding
text_mean_embedding_254,text_embedding
text_mean_embedding_255,text_embedding
text_mean_embedding_256,text_embedding
text_mean_embedding_257,text_embedding
text_mean_embedding_258,text_embedding
text_mean_embedding_259,text_embedding
text_mean_embedding_260,text_embedding
text_mean_embedding_261,text_embedding
text_mean_embedding_262,text_embedding
text_mean_embedding_263,text_embedding
text_mean_embedding_264,text_embedding
text_mean_embedding_265,text_embedding
text_mean_embedding_266,text_embedding
text_mean_embedding_267,text_embedding
text_mean_embedding_268,text_embedding
text_mean_embedding_269,text_embedding
text_mean_embedding_270,text_embedding
text_mean_embedding_271,text_embedding
text_mean_embedding_272,text_embedding
text_mean_embedding_273,text_embedding
text_mean_embedding_274,text_embedding
text_mean_embedding_275,text_embedding
text_mean_embedding_276,text_embedding
text_mean_embedding_277,text_embedding
text_mean_embedding_278,text_embedding
text_mean_embedding_279,text_embedding
text_mean_embedding_280,text_embedding
text_mean_embedding_281,text_embedding
text_mean_embedding_282,text_embedding
text_mean_embedding_283,text_embedding
text_mean_embedding_284,text_embedding
text_mean_embedding_285,text_embedding
text_mean_embedding_286,text_embedding
text_mean_embedding_287,text_embedding
text_mean_embedding_288,text_embedding
text_mean_embedding_289,text_embedding
text_mean_embedding_290,text_embedding
text_mean_embedding_291,text_embedding
text_mean_embedding_292,text_embedding
text_mean_embedding_293,text_embedding
text_mean_embedding_294,text_embedding
text_mean_embedding_295,text_embedding
text_mean_embedding_296,text_embedding
text_mean_embedding_297,text_embedding
text_mean_embedding_298,text_embedding
text_mean_embedding_299,text_embedding
text_mean_embedding_300,text_embedding
text_mean_embedding_301,text_embedding
text_mean_embedding_302,text_embedding
text_mean_embedding_303,text_embedding
text_mean_embedding_304,text_embedding
text_mean_embedding_305,text_embedding
text_mean_embedding_306,text_embedding
text_mean_embedding_307,text_embedding
text_mean_embedding_308,text_embedding
text_mean_embedding_309,text_embedding
text_mean_embedding_310,text_embedding
text_mean_embedding_311,text_embedding
text_mean_embedding_312,text_embedding
text_mean_embedding_313,text_embedding
text_mean_embedding_314,text_embedding
text_mean_embedding_315,text_embedding
text_mean_embedding_316,text_embedding
text_mean_embedding_317,text_embedding
text_mean_embedding_318,text_embedding
text_mean_embedding_319,text_embedding
text_mean_embedding_320,text_embedding
text_mean_embedding_321,text_embedding
text_mean_embedding_322,text_embedding
text_mean_embedding_323,text_embedding
text_mean_embedding_324,text_embedding
text_mean_embedding_325,text_embedding
text_mean_embedding_326,text_embedding
text_mean_embedding_327,text_embedding
text_mean_embedding_328,text_embedding
text_mean_embedding_329,text_embedding
text_mean_embedding_330,text_embedding
text_mean_embedding_331,text_embedding
text_mean_embedding_332,text_embedding
text_mean_embedding_333,text_embedding
text_mean_embedding_334,text_embedding
text_mean_embedding_335,text_embedding
text_mean_embedding_336,text_embedding
text_mean_embedding_337,text_embedding
text_mean_embedding_338,text_embedding
text_mean_embedding_339,text_embedding
text_mean_embedding_340,text_embedding
text_mean_embedding_341,text_embedding
text_mean_embedding_342,text_embedding
text_mean_embedding_343,text_embedding
text_mean_embedding_344,text_embedding
text_mean_embedding_345,text_embedding
text_mean_embedding_346,text_embedding
text_mean_embedding_347,text_embedding
text_mean_embedding_348,text_embedding
text_mean_embedding_349,text_embedding
text_mean_embedding_350,text_embedding
text_mean_embedding_351,text_embedding
text_mean_embedding_352,text_embedding
text_mean_embedding_353,text_embedding
text_mean_embedding_354,text_embedding
text_mean_embedding_355,text_embedding
text_mean_embedding_356,text_embedding
text_mean_embedding_357,text_embedding
text_mean_embedding_358,text_embedding
text_mean_embedding_359,text_embedding
text_mean_embedding_360,text_embedding
text_mean_embedding_361,text_embedding
text_mean_embedding_362,text_embedding
text_mean_embedding_363,text_embedding
text_mean_embedding_364,text_embedding
text_mean_embedding_365,text_embedding
text_mean_embedding_366,text_embedding
text_mean_embedding_367,text_embedding
text_mean_embedding_368,text_embedding
text_mean_embedding_369,text_embedding
text_mean_embedding_370,text_embedding
text_mean_embedding_371,text_embedding
text_mean_embedding_372,text_embedding
text_mean_embedding_373,text_embedding
text_mean_embedding_374,text_embedding
text_mean_embedding_375,text_embedding
text_mean_embedding_376,text_embedding
text_mean_embedding_377,text_embedding
text_mean_embedding_378,text_embedding
text_mean_embedding_379,text_embedding
text_mean_embedding_380,text_embedding
text_mean_embedding_381,text_embedding
text_mean_embedding_382,text_embedding
text_mean_embedding_383,text_embedding
text_mean_embedding_384,text_embedding
text_mean_embedding_385,text_embedding
text_mean_embedding_386,text_embedding
text_mean_embedding_387,text_embedding
text_mean_embedding_388,text_embedding
text_mean_embedding_389,text_embedding
text_mean_embedding_390,text_embedding
text_mean_embedding_391,text_embedding
text_mean_embedding_392,text_embedding
text_mean_embedding_393,text_embedding
text_mean_embedding_394,text_embedding
text_mean_embedding_395,text_embedding
text_mean_embedding_396,text_embedding
text_mean_embedding_397,text_embedding
text_mean_embedding_398,text_embedding
text_mean_embedding_399,text_embedding
text_mean_embedding_400,text_embedding
text_mean_embedding_401,text_embedding
text_mean_embedding_402,text_embedding
text_mean_embedding_403,text_embedding
text_mean_embedding_404,text_embedding
text_mean_embedding_405,text_embedding
text_mean_embedding_406,text_embedding
text_mean_embedding_407,text_embedding
text_mean_embedding_408,text_embedding
text_mean_embedding_409,text_embedding
text_mean_embedding_410,text_embedding
text_mean_embedding_411,text_embedding
text_mean_embedding_412,text_embedding
text_mean_embedding_413,text_embedding
text_mean_embedding_414,text_embedding
text_mean_embedding_415,text_embedding
text_mean_embedding_416,text_embedding
text_mean_embedding_417,text_embedding
text_mean_embedding_418,text_embedding
text_mean_embedding_419,text_embedding
text_mean_embedding_420,text_embedding
text_mean_embedding_421,text_embedding
text_mean_embedding_422,text_embedding
text_mean_embedding_423,text_embedding
text_mean_embedding_424,text_embedding
text_mean_embedding_425,text_embedding
text_mean_embedding_426,text_embedding
text_mean_embedding_427,text_embedding
text_mean_embedding_428,text_embedding
text_mean_embedding_429,text_embedding
text_mean_embedding_430,text_embedding
text_mean_embedding_431,text_embedding
text_mean_embedding_432,text_embedding
text_mean_embedding_433,text_embedding
text_mean_embedding_434,text_embedding
text_mean_embedding_435,text_embedding
text_mean_embedding_436,text_embedding
text_mean_embedding_437,text_embedding
text_mean_embedding_438,text_embedding
text_mean_embedding_439,text_embedding
text_mean_embedding_440,text_embedding
text_mean_embedding_441,text_embedding
text_mean_embedding_442,text_embedding
